"id";"description";"EMO"
"1064396393598783";"Oliver, ich guck doch schon mindestens einmal die Woche RTL2-NEWS.";"no"
"1065824423455980";"Ich bin auf einen hoffentlich ehrlichen abschließenden Brandbericht gespannt. Und anschließend auf die Erklärungen der ganzen Komiker aus Politik, Presse, Rundfunk, Fernsehen und der sogenannten Promis, die glaubten die Täter noch während des Brandes schon ausgemacht zu haben. Keine äußeren Beschädigungen am Gebäude, ein ganzer Dachstuhl brennt gleichzeitig, eventuell noch über eine Brandwand hinaus. Wer kann fast 10 Meter hoch mit dem ersten Wurf, an der höchsten Stelle soll der Brand begonnen haben, gezielt einen Brandsatz durch keine (!) Öffnung werfen? Also ein Versicherungsbetrug oder ein Versuch eine beispiellose Hetze gegen Sachsen die AfD und Pegida anzuzetteln. Ein technischer Schaden soll wohl schon ausgeschlossen sein - wovon auch? Schauen wir mal, vor allem auf Reaktionen danach, denn bis jetzt war es nur primitive Hetze ohne jegliche Beweise  !!!!!!!";"yes"
"1069073689797720";"Und sowas ist Ministerpräsident. Unglaublich.";"yes"
"1065801100124979";"https://www.youtube.com/watch?v=134uhbtYBM4";"no"
"1064411476930608";"Sabine Zimmermann das ist natürlich ein mega gutes Beispiel. Logisch sagen sie da das es brennt, damit sie es den bösen, bösen Nazis anhängen können. Wenn aber unsere Neuankömmlinge Scheiße bauen wird immer versucht das Mäntelchen der Verschwiegenheit darüber zu decken. Allein ihr Kommentar zeigt wie naiv sie sind.";"yes"
"1065831820121907";"sollen sie  nur labern,,,,,wir  haben  vor  der Ausrottung   gewarnt";"no"
"1065837533454669";"Die herrschenden Politiker bedürfen wirklich Nachhilfeunterricht in Sachen Demokratie.";"no"
"1069103083128114";"dann doogle ma .... definition GG";"no"
"1064883423550080";"Silvia Köln wir brauchen etwas länger, sind aber auf einem guten Weg !";"yes"
"1064352826936473";"Leider war es brandstiftung aber ich gehe von einem versicherungsbetrug aus aber in die richtung denkt ka KEINER";"yes"
"1069126649792424";"Klar, kompetent, überzeugend. ??????";"no"
"1065882913450131";"ARD und ZDF können ja Karl Eduard von Schnitzler einstellen. Er war ja sehr engagiert und passt genau zu Frau Merkels Staatsfernsehen.";"no"
"1069126653125757";"Im übrigen hatte ich auf einen Post geantwortet der nun verschwunden ist.....? Hier ein Link zu dieser linken Seite 
Meiner Meinung nach ein Fake  von ungebildeten Kindern die gern mal dem Schwesterchen unter den Rock greifen möchte.";"yes"
"1069091219795967";"So etwas kommt wenn man dauernd zugekifft ist und in der unmittelbaren Nähe von Kastortransportern herumlungert.";"no"
"1064363736935382";"schon die alten Römer scheiterten bei der Eroberung Sachsens. Hier mussten sie aufgeben *g*";"no"
"1069116643126758";"Der ist doch betrunken!";"no"
"1065822346789521";"ich denke mal , die wollen uns sachsen einer gehirnwäsche mit politischer propaganda bombardieren, daß lassen wir uns nicht gefallen !!!";"yes"
"1064442286927527";"Rafael Prien ein ""s"" bei ""verpiss"" vergessen. Groß-/Kleinschreibung vernachlässige ich jetzt mal.";"no"
"1064358353602587";"Jitka Zajícová Herzlich willkommen.....";"no"
