id,description,anger,fear,surprise,sadness,joy,disgust,envy,jealousy,other
1.53883560841995E+018,@1Mcpom @nathan_giwerzew @WELTspr @welt Auch linke Juden unterstützen teilweise BDS. Ich halte ihren Standpunkt für falsch. Antisemitien müssen natürlich systematisch ausgeschlossen werden wenn Sie erkannt werden. Eine offene Bewegung ohne Mitgliederverzeichnis hat es da etwas schwerer. Die Kritik das dies zu wenig..,,,,,,,,,
1.53878966435766E+018,"„Der Jude“ als zoomorphes Wesen mit verzerrter Physiognomie (blutunterlaufene Augen, spitze Raffzähne, krumme Nase) samt Kippot, Hut und Schläfenlocken. Auf dem Hut prangt eine „SS“ Rune, die „den Juden“ als Nazi und somit als das personifizierte Böse charakterisiert #documenta15 https://t.co/IqMU4YqADt",,,,,,,,,
1.53864884233326E+018,"@Anonymous35676 @WerteInitiative @documenta__ Zwischen staatlicher Zensur und staatlicher Förderung ist ja noch sehr viel Luft, oder nicht? Was soll also das Strohmann-Argument? Böswilliges Verächtlichmachen von Juden sollte aus mehr als 6 Mio Gründen in Deutschland jedenfalls nicht staatlich gefördert werden.",,,,,,,,,
1.53858522492539E+018,"@schilo611 @EgonOlsen_ @kaffeecup Jetzt komm mal wieder runter. Den mord am 6 mio menschen schiebt ihr linken ""relativierung des holocausts"" sirenen reflexartig in den ring, wovon niemand sprach. Ich weise dich auf dinge hin, die du wissen solltest und das ist die situation der juden 1933. Und recherchierst du",,,,,,,,,
1.53850227701883E+018,"@JuliaKloeckner @MoritzMichelson Wie man hier aus einigen Kommentaren sieht, der Aufruf der Nazis „Kauft nicht bei Juden“, findet auch eine Menge Freunde unter den als linke Pseudomoralisten verkleideten Israel-Basher, die nichts gegen Terror gegen Juden haben, aber angeblich gegen Rassismus kämpfen! 🤮",,,,,,,,,
1.53843765620348E+018,Die Polizei löst in mir als Juden in 🇩🇪ambivalente Gefühle aus. Über rechtsextreme Skandale kann ich nicht hinwegsehen. \nAber das ist nur eine Seite. Denn ohne die uns schützenden Beamtinnen &amp,,,,,,,,,
1.5384170588489E+018,"@ehrlichetweets @Silver77782523 @annedore_c @focusonline Sehr witzig, Umfragen in Ihrem Kanal🤣🤣🤣 Was sollen die denn für einen Wert haben? Und das Bullshit-Argument: ich kenne Juden, also kann ich nicht antisemitisch sein - merkste selbst, oder?",,,,,,,,,
1.53822968904247E+018,"@WachsVictor @thesnake69 wo Juden, Semiten und Nichtjuden gleiche Rechte haben, gibts keinen ASem,\nsondern einen beleidigenden #zionHoax.\n\nASem-Beschimpfungen = #zioNaZi-hatespeech \n\nASem-Opfer heute = nur nichtjüdische Semiten im/um das rassistische Israel.",,,,,,,,,
1.53818372905473E+018,"Rechts sehen Sie die lieben Menschen von Gaza, links die Juden als neue Legion Condor: Macht Bundespräsident Steinmeier eigentlich einen Rundgang, bevor er heute die Documenta eröffnet? https://t.co/iZsb00cAsw https://t.co/0OgWlz6yG1",,,,,,,,,
1.53813869157883E+018,"@andanotherguy Deshalb verstehe ich den Eingangstweet auch nicht. Ich mein die Poster beziehen sich doch ganz klar auf Deutsche mit Nazi-Hintergrund, die u.a. für sich in Anspruch nehmen, Juden*Jüdinnen als ""self-hating Jews"" bezeichnen zu dürfen",,,,,,,,,
1.53811031141636E+018,"Documenta Fifteen: „Niemand in Deutschland kann zu Israel sprechen, aber zu sechs Millionen ermordeten Juden schweigen“ https://t.co/6NGMehM4ra via @welt \n\n#Antisemitismus geht garnicht. Die #documenta15 kann  mich dieses Mal am Arsch lecken. #Kassel",,,,,,,,,
1.53776954306564E+018,"So klingt es, wenn man meint, endlich einen Grund gefunden zu haben, um „legitim“ gegen Juden zu hetzen: https://t.co/JmdeQUMv52",,,,,,,,,
1.53749819883461E+018,@RalphVonstein @Arnd_Diringer Von Laschet und Widmann-Mauz gefördert.\nDie Nähe zu palästinensischen Terrorunterstützern ist nicht zufällig bei Ferda Atamans und Daniel Bax‘ @NDOrgs und @NDMedienmacher:\nhttps://t.co/vG12QiC4bn \n„Unteilbar“,,,,,,,,,
1.5374116407019E+018,"Ferda #Ataman lehnt ein Melderegister für Antisemitismus ab und glaubt nicht, daß durch die moslemische Zuwanderung Antisemitismus importiert worden sei.\n\nIch habe vollstes Verständnis für jene Juden, die Deutschland in jüngster Zeit den Rücken gekehrt haben.",,,,,,,,,
1.53739607009498E+018,Welche Farbe haben Juden? Die Bundesregierung schlägt als neue Leiterin der Antidiskriminierungsstelle des Bundes Ferda Ataman vor. Wir haben mal in unserem #Archiv gekramt. #Debatte #Glosse https://t.co/fyYldM4BlQ https://t.co/r5vQZTM3hi,,,,,,,,,
1.5373897248388E+018,"bIS morgen, 17. Juni 2022, kann man sich zu einem Online-Seminar der Gedenkstätte @yadvashem  anmelden. Thema ""Doppelte Verfolgung. Psychisch kranke und behinderte Jüdinnen und Juden im NS &amp; inklusive Ansätze in der Geschichtsvermittlung."" \n https://t.co/gRDXvbG1AH",,,,,,,,,
1.53733029169356E+018,"Wer kritisiert, dass Luisa Neubauer zustimmend aus einem Buch zitiert, in dem palästinensischer Terror glorifiziert &amp; Lage der Juden im Warschauer Ghetto mit Klima-Kampf verglichen wird, betreibt „rechten Kulturkampf“. So kann man es natürlich auch sehen. https://t.co/LJkcTLcSxf",,,,,,,,,
1.53718520885163E+018,"Aus dem Satz hier allein lässt sich das aber noch nicht erschließen, immerhin wird eher gemeint, dass die Palästinenser quasi das Bühnenstück sind wo die Juden ihren innerjüdischen Konflikt ausleben (Auch wenn ""jüdisches Psychodrama"" ein kritischer Begriff ist): https://t.co/MByGthFnav",,,,,,,,,
1.53709692169685E+018,"Mit Meinhof verbindet Malm eine Leidenschaft für palästinensischen Terror gegen Juden.\n\nDer „Pionier der Pipeline-Sabotage“ sei der „palästinensische Widerstand“, schwärmt Malm von der Terror-Organisation PFLP, die ihre Geiseln gern in Juden und Nicht-Juden einteilte.",,,,,,,,,
1.53700345372106E+018,Auf deutschem Boden🙈 Flüchtlingsströme Nationen Religionen die sich bekämpften untereinander verhasst sind\nChristen Juden Islam-Weltreligion\nSunniten Schiiten Jesiden\nNationen,,,,,,,,,
1.53688243349634E+018,"Manche meinen, dass Juden den Holocaust für sich missbrauchen und sprechen vom Bombenholocaust.\n\nManche meinen, dass Israel den Holocaust missbraucht und sprechen vom Holocaust an den Palästinensern.\n\nUnd ja, manche missbrauchen Israel für ihren Antisemitismus.\n#HijackingMemory",,,,,,,,,
1.53677420629746E+018,"@ZentralratJuden Ich begrüße die Entscheidung des BGH. Geschichte darf nicht wie in Afghanistan und Syrien vernichtet werden. Alle Gräueltaten über 2.500 gegen Juden darf nicht von einem dafür extra in das Judentum konvertierten Deutschen, welcher sicherlich gute Absichten hat...",,,,,,,,,
1.53672588195518E+018,#Juden in #BadenWürttemberg: Weinsberger Staatsweingut produziert #koscher'en #Wein. \n\n@epd_suedwest via @StZ_NEWS\n\nhttps://t.co/TfgY3TdIfM,,,,,,,,,
1.53665491961632E+018,"@WolfMalca Vor allem bei so vielen Beiträgen von Ihnen. Wie sehr müssen doch ""Scheiß Juden!""-Pöbler äh... konstruktive ""Man wird Israel ja wohl noch kritisieren dürfen!""-Friedensaktivisten zart besaitet sein.",,,,,,,,,
1.53659874690932E+018,@FionaLichtblau @MENA_WATCH @JohannesFeest @Volker_Beck @BundesKultur @HKW_Berlin @TUBerlin Im allgemeinen nennen Juden die BDS klar antisemitisch.,,,,,,,,,
1.53628789928884E+018,"@karstenk713 @MehlfickAndreas @Ella51573004 @berlinerzeitung Und wieder ein Antisemit, der sich mit den ukrainischen Nazis am Leid der Juden ergötzt und das schreckliche Leid verleumdet! \nHier sollte der Judenrat unbedingt tätig werden!!! 🤥😵‍💫💩🤮👎🇺🇦",,,,,,,,,
1.53625580712952E+018,"Aus den Gemeinden: Die Jüdische Gemeinde Hanau hat im Beisein von Bundespräsident a.D. Joachim Gauck an den 80. Jahrestag der Deportation von Juden erinnert. Und: Auszeichnung für Amnon Orbach, langjähriger Vorsitzender der Jüdischen Gemeinde Marburg.\n\nhttps://t.co/EuPxpp8jBq",,,,,,,,,
1.5361117525465E+018,"In Frankreich ist die Zahl der Juden seit 2000 von 500'000 auf rund 40'000 gesunken. Wenn die Muslime mit ihnen ganz fertig sind, werden sie sich ein anderes Ziel suchen...",,,,,,,,,
1.53563192171943E+018,"@buzzkillbummr Und ""Sex mit Juden 😍""",,,,,,,,,
1.53561860542923E+018,"#Servicetweet: \n\n1️⃣. Die  jüdische Gemeinde in Düsseldorf vertritt nicht — so wie von Euch im Tweet behauptet —  „angeblich“ #Juden, sondern die Gemeinde besteht *ausschliesslich* aus #Juden. \n\n2️⃣. Die Band der #IDF — so wie von Euch im Tweet behauptet — \nals „Terrorbande \n——&gt; https://t.co/83FskfFHEh https://t.co/TnVkUH72lp",,,,,,,,,
1.53557747654549E+018,"Gedankenverlorenes Territorium: Wir wollen nicht ausdrücklich Juden aus Palästina wegvölkermorden – wir wollen nur, dass keiner sich einmischt, wenn wir es tun: Marwan Shibli, palästinensischer Aktivist, PreOccupied Territory, 2. Juni 2022 Gaza… https://t.co/SPWvzLzy41 heplev https://t.co/d1K08HT7k8",,,,,,,,,
1.53483310814666E+018,"@IsabelcIsabel @schnartzparis @welt Putin mit Hitler zu vergleichen, mag als Metapher verlockend sein, aber man darf Hitler nicht verharmlosen. Hitler ist auf der Leiter der Verbrechen einige Stufen höher, d.h. näher an dem Abgrund der Abscheulichkeit: Eine Rassentheorie über die Minderwertigkeit der Juden u. KZs",,,,,,,,,
1.5348026896196E+018,"""Der Mann ist in Not, dem helfe ich."" Marie #Burde (* 1892 (#otd), † 1963) lebt im Wedding in bitterer Armut, verkauft gelegentlich Zeitungen und sammelt Lumpen von der Straße - und sie rettet unter dem Naziterror drei jungen Juden das Leben, die sie ab 1943 versteckt.\n\n#Berlin https://t.co/cZHn8BBXso",,,,,,,,,
1.53445825436072E+018,"Dazu: Im #Frankfurt|er Stadtteil #Bockenheim sind am Montag mehrere antisem. Schmierereien mit ""FCK JDN"" (Fuck Juden) &amp; ""JDN TTN"" (Juden töten) aufgetaucht - diese wurden lt. Aktivist:innen vor Ort unkenntlich gemacht.\n#Antisemitismus #Hessen\nvia @tonline\nhttps://t.co/TDGtwJL3Ra https://t.co/mS1GsmXTLA",,,,,,,,,
1.53420586800223E+018,"Warum wir (uns) an den irakischen Farhud erinnern müssen. Von Lyn Julius. Der Schlagstock wurde von denen, die 1941 in Bagdad Juden massakrierten, an die heutigen Politiker weitergegeben, die vom Iran kontrolliert werden. (Gastautor)\n\nhttps://t.co/awDFDET8jQ https://t.co/6WodrBn9AC",,,,,,,,,
