id,description,anger,fear,surprise,sadness,joy,disgust,envy,jealousy,other
1.46131427375437E+018,ORF löscht heimlich wieder Bericht zu wachsender Verfolgung von Juden und Christen in Europa. Der Grund würde mich wirklich interessieren.\n\nhttps://t.co/rB9YpOc7fW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.46106438345135E+018,@comuna_ciurea Ich denke Juden und Palästinenser,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.46094953100943E+018,@ToloMerw @MickyBeisenherz @Hoellenaufsicht Die nazis waren uebrigens die radikalsten impfgegner\nHeinrich Himmler hielt impfen fuer eine juedische Erfindung an denen sich die Juden bereichern.\nJust sayin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.46086921896298E+018,"Wenn das kein Antisemitismus ist, dann ist nichts mehr Antisemitismus: man kann wortwörtlich „die Juden“ sagen und eine deutsche Staatsanwaltschaft wertet das als „Israelkritik“. 🤯\n#IsraelkritikamLimit https://t.co/BehYsJCMPP",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.4605753942271E+018,AfD-Anhänger stimmen antisemitischen Aussagen besonders oft zu: Vorbehalte gegen Juden sind in der deutschen Bevölkerung weiterhin sehr verbreitet. Das gilt weit überdurchschnittlich für Anhänger der AfD. Zu diesen Ergebnissen kommt eine… https://t.co/BpFTUrc9TF JuedAllg https://t.co/zN4oJyhUpo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.4605137210806E+018,Heute findet die #SchalomAleikum-Jahresveranstaltung 2021 im @DHMBerlin statt! Lesen Sie hier ein Porträt des jüdisch-muslimischen Dialogprojekts des @ZentralratJuden. #SeeTheOtherSide #OpenEnde https://t.co/Ty5Dtdm98y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.46049080779907E+018,"Ein Nazi-Abteilungsleiter für Gesundheitswesen sagte auf einer Amtsärzte-Tagung 1941 über Juden: ""Wir haben die Aufgabe, dafür zu sorgen, dass das deutsche Volk von diesen Parasiten nicht infiziert und gefährdet wird, dafür muss jedes Mittel recht sein.""\nhttps://t.co/Ncqxrfi4Ws",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.46047786420638E+018,@Behindt93065949 @Hvg852 Wie bei den Juden,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.46033271016206E+018,"""Juden"" in ""Ungeimpfte"" und Ort und Datum ändern. Und dann haben wir es schon wieder! https://t.co/o0WiWnC73B",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.46015733231961E+018,"@maulwurfmeister Es geht nicht um Spritzen, es geht um die Behauptung die"" neuen Juden"" zu sein.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45987186720084E+018,"Nachtrag: Wie unbelehrbar Kunschak war, erwies sich nach der Befreiung &amp; angesichts von 6 Millionen ermordeter Juden und Jüdinnen. Im September 1945 nahm er an einer Protestversammlung gegen die Einreise von polnischen Holocaust-Überlebenden teil. (1/2)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45983704925564E+018,"Parallel dazu werden jüdische Figuren, die sich gegen den Zionismus oder den Staat Israel äußern, oft ganz konkret ausgeklammert aus der abstrakten Deutung von ""den Juden"". So wird dem jüdischen Kollektiv eine einheitliche kollektive politische Position zugeschrieben.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.4598307093052E+018,Alle die Impfverweigerer die heute meinen sich zu fühlen wie die Juden Damals....\nSchaut mal wie '68 die Jugend gefragt hat was die Eltern während des Krieges gemacht haben.\nEuch werden sie fragen was ihr heute gemacht habt.\n\n/2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45967086137654E+018,"@SiegmundFrei Der Nachweis wurde schon 1936 in Deutschland erbracht mit der Ausgrenzung der Juden. Heute besteht nur die zusätzliche Herausforderung das in einer Demokratie zu machen, funktioniert aber eigentlich immer.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45965884415038E+018,"@IzaHanna @AhmadMansour__ zweithäufigsten angegriffen wurde. Und auch wenn sich die nackten Zahlen niedrig anhören mögen, muss man bedenken, dass Juden nur rund 0,026 Prozent der polnischen Bevölkerung stellen – laut Volkszählungsdaten leben etwa 10.000 Juden im Land. Wie ist es möglich, dass eine so",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45952243728499E+018,"Europaweit treten antisemitische Mythen und Verschwörungserzählungen, die Jüdinnen:Juden für die Pandemie verantwortlich machen, in den Vordergrund - Berichtet jetzt auch die Europäische Agentur für Grundrechte. #Antisemitismus \nhttps://t.co/KX0jT7V0tP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45951733473812E+018,"Hat ja nicht lange gedauert mit Antisemitismus. Bei der #Querdenken ""Demo"" in #Fulda macht der erste Redner gleich mal wieder eine Gleichstellung zwischen Juden im NS und den ""Ungeimpften"" https://t.co/dkIKeTTIJy",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45949547787608E+018,Die Sache mit den Juden - Videos der Sendung | ARD Mediathek https://t.co/oVCI8Vg8Ir,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45929827286723E+018,"Die #Ungeipften sind die #Juden der Neuzeit. Ihr könnt mich dafür prügeln, ich sehe es so. Es gibt durchaus heute Menschen, die würden #Ungeimpfte in #Lager sperren und andere sehen dabei zu. #COVID19",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45925092183847E+018,"Im polnischen Kalisz wurde gestern auf dem rechtsextremen Marsch zum Unabhängigkeitstag eine Kopie des Statuts von Kalisch verbrannt. Das Statut ist der mittelalterliche Judenschutzbrief von 1264, der Juden in Polen Rechte gewährte und Verfolgung bestrafte.\n#Antisemitismus https://t.co/1SbeNVHS0R",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45917648922894E+018,"Im letzten Teil der vierteiligen Dokumentation setzte sich @rc_schneider mit ""Die Sache mit den Juden | Im Alltag"" auseinander.\n#Antisemitismus #Deutschland #Gesellschaft \nvia @BR24 \nhttps://t.co/gH4WiI7q8y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45915500937184E+018,Die Menge skandierte bei der Präsentation des Statuts und während der Verbrennung:\nSchande! \nTod den Juden! \nHier ist Polen und nicht Polin [=Name für Polen auf Hebräisch]!,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.4590849251567E+018,"In der Ausstellung ""Unser Mut. Juden in Europa 1945-48"" erzählen wir auch vom Lager für jüdische Displaced Persons in #Frankfurt-#Zeilsheim. Über 3.000 Menschen lebten dort nach 1945 zeitweise, wie in diesem Beitrag des @journalffm zu lesen ist. https://t.co/P8jn4HtGEj",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45896219126938E+018,"""Immer wieder bezeichnen sich Personen aus dem ""Querdenken""-Milieu als ""Juden von heute"", heften sich gelbe Sterne mit der Aufschrift ""ungeimpft"" an - und verharmlosen dadurch Judenverfolgung und das totalitäre Regime insgesamt."" (@PatrickGensing)\n\nhttps://t.co/pao2m2wR2y",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45886957193967E+018,2 Tage nach dem Gedenken an die Reichspogromnacht wurde in #riesa die Gedenktafel für die Opfer und die in Riesa lebenden Juden entwendet. Wir sind fassungslos und wütend. @Report_Antisem #9November #keinvergessen https://t.co/6rEzbeaYbQ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45883246707551E+018,"Wer 2-G-Regelungen auch nur andeutungsweise mit der Situation von Juden in der Nazizeit vergleicht, wird von mir sofort und ohne weitere Worte geblockt. Digital wie analog.",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1.45879301188689E+018,"Es wird immer wieder richtig angemerkt, dass vor Synagogen zu demonstrieren antisemitisch ist, weil Judentum und Israel gleichgesetzt werden. Wenn Palästinenser aber vor Institutionen des israelischen Staates demonstrieren ist das auch antisemitisch, weil gemeint seien Juden🆗 https://t.co/mJOJBHs5Bh",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45877331451256E+018,@Dealo_RU @syndorphin Die afd hat Juden in der Partei und ein Plakat auf türkisch gemacht zudem ist die Parteivorsitzende homosexuell dadurch muss der Weltöffentlichkeit jetzt doch endgültig klar sein dass die afd keine verfassungsfeindliche nazipartei ist,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45871334352764E+018,"@ArianeBayer4 Vor dem zionistischen Siedlerkolonialismus lebten Muslime, Juden und Christen kooperativ zusammen.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.45870389739728E+018,"Personen: ""Aber Samira du hast nicht verstanden wie mehrschichtig &amp; elaboriert die mit feinstem Besteck ziselierte, tiefgründige Satire von Eckhart ist, es ist ein gesellschaftskritisches Spiel mit Ebenen, das nur intelligente Menschen begreifen""\nEckhart: Juden haben große Nasen https://t.co/jmoLSoRLR9",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
